squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Lorient,2026,summer,in,Formose Mendy,formose mendy,Centre-Back,25,Senegal,Watford,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/649023-1656082248.jpg?lm=1
Lorient,2026,summer,in,Dembo Sylla,dembo sylla,Right-Back,23,Guinea,Red Star FC,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1049151-1669831322.jpg?lm=1
Lorient,2026,summer,in,Joel Mvuka,joel mvuka,Right Midfield,23,Norway,Celtic,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/700078-1709544633.jpg?lm=1
Lorient,2026,summer,in,Jérémy Hatchi,jeremy hatchi,Left Winger,21,Guadeloupe,Guingamp,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/981760-1770738661.jpg?lm=1
Lorient,2026,summer,in,Enzo Genton,enzo genton,Centre-Back,20,France,FC Rouen 1899,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1130941-1767115177.png?lm=1
Lorient,2026,summer,out,Sambou Soumano,sambou soumano,Centre-Forward,25,Senegal,Stade Reims,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/704270-1645697334.jpg?lm=1
Lorient,2026,summer,out,Laurent Abergel,laurent abergel,Defensive Midfield,33,France,Nice,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/238626-1704576934.jpg?lm=1
Lorient,2026,summer,out,Bamba Dieng,bamba dieng,Centre-Forward,26,Senegal,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/822458-1750956902.png?lm=1
Lorient,2026,summer,out,Darlin Yongwa,darlin yongwa,Left-Back,25,Cameroon,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/717118-1704299779.jpg?lm=1
Lorient,2026,summer,out,Igor Silva,igor silva,Right-Back,29,Brazil,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/391720-1600971302.jpg?lm=1
Lorient,2026,summer,out,Bamo Meïté,bamo meite,Centre-Back,24,Cote d'Ivoire,Marseille,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/807165-1724754649.jpg?lm=1
Lorient,2026,summer,out,Abdoulaye Faye,abdoulaye faye,Centre-Back,21,Senegal,Leverkusen,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1182738-1695367426.jpg?lm=1
Lorient,2026,summer,out,Dermane Karim,dermane karim,Attacking Midfield,22,Togo,Lommel SK,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/969447-1713870015.png?lm=1
Lorient,2026,summer,out,Trevan Sanusi,trevan sanusi,Left Winger,19,England,Newcastle U21,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1011152-1746640468.jpg?lm=1
Lyon,2026,summer,in,Mads Bidstrup,mads bidstrup,Central Midfield,25,Denmark,Salzburg,10500000.0,€10.50m,https://img.a.transfermarkt.technology/portrait/medium/462832-1754993672.png?lm=1
Lyon,2026,summer,in,Julien Duranville,julien duranville,Left Winger,20,Belgium,Dortmund,5000000.0,€5.00m,https://img.a.transfermarkt.technology/portrait/medium/819215-1733829401.jpg?lm=1
Lyon,2026,summer,in,Noham Kamara,noham kamara,Centre-Back,19,France,PSG,4099999.0,€4.10m,https://img.a.transfermarkt.technology/portrait/medium/1275040-1752476961.jpg?lm=1
