player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Kasper Boogaard,AZ Alkmaar,MF,19.0,710,0.0,0.25,0.76,0.13,1.013,1.392,0.759,1.392,0.886,0.127,,kasper boogaard,2029-06-30,988406,2026-07-07T15:11:27,2026-01-12,,https://img.a.transfermarkt.technology/portrait/medium/988406-1768242977.jpg?lm=1
Kees Smit,AZ Alkmaar,MF,19.0,2132,0.13,0.13,1.6,0.42,0.97,0.717,0.97,1.435,1.35,0.0,,kees smit,2028-06-30,859035,2026-07-07T15:11:27,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/859035-1723819911.jpg?lm=1
Lequincio Zeefuik,AZ Alkmaar,FW,20.0,116,0.0,0.0,3.1,0.78,0.0,0.0,0.0,5.385,2.308,0.769,,lequincio zeefuik,,,,,,
Matej Sin,AZ Alkmaar,"MF,FW",21.0,550,0.16,0.16,1.47,0.49,0.82,0.984,0.984,1.148,0.656,0.164,,matej sin,2030-06-30,724025,2026-07-07T15:11:27,2025-08-29,,https://img.a.transfermarkt.technology/portrait/medium/724025-1714922170.jpg?lm=1
Mateo Chávez,AZ Alkmaar,"DF,MF",21.0,829,0.11,0.22,1.63,0.54,2.609,1.739,3.587,1.413,1.63,0.109,,mateo chavez,2030-06-30,1066953,2026-07-07T15:11:27,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1066953-1753350485.jpg?lm=1
Maxim Dekker,AZ Alkmaar,DF,21.0,192,0.0,0.0,0.47,0.0,0.476,0.0,0.952,0.0,0.476,0.0,,maxim dekker,2029-06-30,646704,2026-07-07T15:11:27,2022-07-01,,https://img.a.transfermarkt.technology/portrait/medium/646704-1753350570.jpg?lm=1
Mees de Wit,AZ Alkmaar,DF,27.0,2480,0.11,0.22,0.73,0.4,1.413,0.906,1.304,1.123,0.435,0.036,,mees de wit,2029-06-30,315254,2026-07-07T15:11:27,2022-07-01,,https://img.a.transfermarkt.technology/portrait/medium/315254-1753350882.jpg?lm=1
Mexx Meerdink,AZ Alkmaar,FW,22.0,885,0.31,0.1,3.66,1.32,0.102,0.0,0.408,1.531,1.327,0.51,,mexx meerdink,2030-06-30,678546,2026-07-07T15:11:27,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/678546-1753350650.jpg?lm=1
Peer Koopmeiners,AZ Alkmaar,MF,25.0,2134,0.08,0.0,1.27,0.38,2.616,0.97,1.983,1.603,0.253,0.0,,peer koopmeiners,2028-06-30,361074,2026-07-07T15:11:27,2021-07-01,,https://img.a.transfermarkt.technology/portrait/medium/361074-1721657696.jpg?lm=1
Rio Robbemond,AZ Alkmaar,MF,20.0,69,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2.5,0.0,0.0,,rio robbemond,,,,,,
Rion Ichihara,AZ Alkmaar,DF,20.0,94,0.0,0.0,1.91,0.96,0.0,2.0,0.0,1.0,2.0,0.0,,rion ichihara,2031-06-30,936294,2026-07-07T15:11:27,2026-01-31,,https://img.a.transfermarkt.technology/portrait/medium/936294-1758617690.jpg?lm=1
Ro-Zangelo Daal,AZ Alkmaar,"MF,FW",21.0,1348,0.07,0.0,1.67,0.6,1.6,0.533,1.267,0.6,2.133,0.067,,ro-zangelo daal,2030-06-30,800995,2026-07-07T15:11:27,2025-01-07,,https://img.a.transfermarkt.technology/portrait/medium/800995-1753350850.jpg?lm=1
