squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,beker_starts,beker_apps,euro_starts,euro_apps,cup_starts,cup_apps
Sparta R.,Uchenna Aririerisim,uchenna aririerisim,0,0,0,0,2,4,0,0,2,4,0,0
Sparta R.,Jakub Surovcik,jakub surovcik,0,0,0,0,2,2,0,0,2,2,0,0
Sparta R.,Andrew Irving,andrew irving,0,0,0,0,2,2,0,0,2,2,0,0
Sparta R.,Oliver Sonne,oliver sonne,0,0,0,0,2,2,0,0,2,2,0,0
Sparta R.,Matyás Vojta,matyas vojta,0,0,0,0,2,2,0,0,2,2,0,0
Sparta R.,Domantas Simkus,domantas simkus,0,0,0,0,1,3,0,0,1,3,0,0
Sparta R.,Jovan Cadjenovic,jovan cadjenovic,0,0,0,0,1,6,0,0,1,6,0,0
Sparta R.,Mouad El Fanis,mouad el fanis,0,0,0,0,1,5,0,0,1,5,0,0
Sparta R.,Lukas Sadilek,lukas sadilek,0,0,0,0,1,2,0,0,1,2,0,0
Sparta R.,Santiago Eneme,santiago eneme,0,0,0,0,1,6,0,0,1,6,0,0
Sparta R.,Garang Kuol,garang kuol,0,0,0,0,1,6,0,0,1,6,0,0
Sparta R.,Merlin Hadzi,merlin hadzi,0,0,0,0,1,1,0,0,1,1,0,0
Sparta R.,Kevin-Prince Milla,kevin-prince milla,0,0,0,0,1,2,0,0,1,2,0,0
Sparta R.,Nikolai Micallef,nikolai micallef,0,0,0,0,1,1,0,0,1,1,0,0
Sparta R.,Filip Panak,filip panak,0,0,0,0,1,2,0,0,1,2,0,0
Sparta R.,Hugo Sochurek,hugo sochurek,0,0,0,0,1,1,0,0,1,1,0,0
Sparta R.,Stijn Meijer,stijn meijer,0,0,0,0,0,4,0,0,0,4,0,0
Sparta R.,Shaisen Attard,shaisen attard,0,0,0,0,0,2,0,0,0,2,0,0
Sparta R.,Sven Xerri,sven xerri,0,0,0,0,0,3,0,0,0,3,0,0
Utrecht,Miguel Rodríguez,miguel rodriguez,0,0,8,8,0,0,0,0,8,8,0,0
Utrecht,Alonzo Engwanda,alonzo engwanda,0,0,8,8,0,0,0,0,8,8,0,0
Utrecht,Vasilios Barkas,vasilios barkas,0,0,6,6,0,0,0,0,6,6,0,0
Utrecht,Nick Viergever,nick viergever,0,0,6,7,0,0,0,0,6,7,0,0
Utrecht,Souffian El Karouani,souffian el karouani,0,0,6,8,0,0,0,0,6,8,0,0
