squad,gw,date,home_away,opponent,gf,ga,score,result
Mechelen,9,2026-05-21,H,Club Brugge,2,2,2:2,D
Mechelen,10,2025-10-04,H,Sint-Truiden,1,3,1:3,L
Mechelen,10,2026-05-24,A,Sint-Truiden,0,3,0:3,L
Mechelen,11,2025-10-19,A,Dender,3,1,3:1,W
Mechelen,12,2025-10-25,H,OH Leuven,1,1,1:1,D
Mechelen,13,2025-11-01,A,Anderlecht,1,3,1:3,L
Mechelen,14,2025-11-09,H,Union SG,1,1,1:1,D
Mechelen,15,2025-11-23,A,Genk,1,0,1:0,W
Mechelen,16,2025-11-28,H,Standard Liège,0,1,0:1,L
Mechelen,17,2025-12-07,H,Charleroi,1,0,1:0,W
Mechelen,18,2025-12-13,A,Cercle Brugge,3,2,3:2,W
Mechelen,19,2025-12-21,A,Sint-Truiden,0,1,0:1,L
Mechelen,20,2025-12-27,H,Dender,1,1,1:1,D
Mechelen,21,2026-01-17,A,Union SG,0,1,0:1,L
Mechelen,22,2026-01-25,H,Westerlo,1,1,1:1,D
Mechelen,23,2026-02-01,A,OH Leuven,2,2,2:2,D
Mechelen,24,2026-02-08,H,Antwerp,2,0,2:0,W
Mechelen,25,2026-02-13,H,Genk,2,3,2:3,L
Mechelen,26,2026-02-22,A,La Louvière,2,0,2:0,W
Mechelen,27,2026-02-28,H,Zulte Waregem,2,1,2:1,W
Mechelen,28,2026-03-08,A,Gent,1,3,1:3,L
Mechelen,29,2026-03-15,H,Anderlecht,1,0,1:0,W
Mechelen,30,2026-03-22,A,Club Brugge,1,4,1:4,L
OH Leuven,1,2025-07-27,H,Charleroi,2,2,2:2,D
OH Leuven,1,2026-04-04,H,Standard Liège,1,3,1:3,L
OH Leuven,2,2025-08-03,A,Union SG,0,5,0:5,L
OH Leuven,2,2026-04-12,A,Genk,0,0,0:0,D
OH Leuven,3,2025-08-10,A,Antwerp,1,3,1:3,L
OH Leuven,3,2026-04-18,A,Antwerp,0,2,0:2,L
OH Leuven,4,2025-08-15,H,Genk,1,2,1:2,L
OH Leuven,4,2026-04-21,H,Westerlo,0,2,0:2,L
OH Leuven,5,2025-08-24,A,Dender,1,0,1:0,W
OH Leuven,5,2026-04-25,H,Charleroi,0,2,0:2,L
OH Leuven,6,2025-08-31,H,Standard Liège,1,0,1:0,W
OH Leuven,6,2026-05-02,A,Westerlo,3,3,3:3,D
OH Leuven,7,2025-09-13,A,Zulte Waregem,0,2,0:2,L
OH Leuven,7,2026-05-08,A,Standard Liège,1,2,1:2,L
OH Leuven,8,2025-09-20,H,La Louvière,1,2,1:2,L
OH Leuven,8,2026-05-15,H,Antwerp,3,0,3:0,W
OH Leuven,9,2025-09-26,H,Anderlecht,1,1,1:1,D
OH Leuven,9,2026-05-19,A,Charleroi,1,1,1:1,D
OH Leuven,10,2025-10-05,A,Westerlo,0,2,0:2,L
OH Leuven,10,2026-05-23,H,Genk,0,2,0:2,L
OH Leuven,11,2025-10-18,H,Club Brugge,0,1,0:1,L
OH Leuven,12,2025-10-25,A,Mechelen,1,1,1:1,D
OH Leuven,13,2025-11-02,H,Gent,4,0,4:0,W
OH Leuven,14,2025-11-08,A,Cercle Brugge,2,1,2:1,W
OH Leuven,15,2025-11-23,H,Sint-Truiden,1,2,1:2,L
OH Leuven,16,2025-11-30,A,Genk,1,2,1:2,L
OH Leuven,17,2025-12-07,H,Zulte Waregem,1,1,1:1,D
