player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Diogo Prioste,Benfica,MF,21.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,0.0,,diogo prioste,,,,,,
Dodi Lukebakio,Benfica,MF,27.0,746,0.0,0.36,4.1,1.09,8.795,0.602,0.602,1.084,1.325,0.361,,dodi lukebakio,2030-06-30,303259.0,2026-07-08T07:41:51,2025-09-01,,https://img.a.transfermarkt.technology/portrait/medium/303259-1657098989.jpg?lm=1
Enzo Barrenechea,Benfica,MF,24.0,1794,0.05,0.0,0.7,0.25,0.151,1.809,1.407,1.759,1.558,0.0,,enzo barrenechea,2026-07-01,671915.0,2026-07-08T07:41:51,2026-07-01,NEW,https://img.a.transfermarkt.technology/portrait/medium/671915-1758058491.jpg?lm=1
Florentino Luís,Benfica,MF,25.0,38,0.0,0.0,0.0,0.0,0.0,2.5,2.5,5.0,0.0,0.0,,florentino luis,,,,,,
Franjo Ivanović,Benfica,FW,21.0,876,0.51,0.1,3.29,1.85,1.34,0.412,0.412,1.959,2.268,0.309,,franjo ivanovic,2030-06-30,548028.0,2026-07-08T07:41:51,2025-07-31,,https://img.a.transfermarkt.technology/portrait/medium/548028-1727376769.jpg?lm=1
Fredrik Aursnes,Benfica,MF,29.0,2291,0.12,0.12,1.1,0.31,3.843,1.059,1.333,0.941,0.51,0.078,,fredrik aursnes,2029-06-30,223367.0,2026-07-08T07:41:51,2022-08-24,,https://img.a.transfermarkt.technology/portrait/medium/223367-1737497700.jpg?lm=1
Gianluca Prestianni,Benfica,MF,19.0,1540,0.18,0.29,2.63,0.94,4.269,0.468,0.76,1.053,2.281,0.175,,gianluca prestianni,2029-06-30,1000674.0,2026-07-08T07:41:51,2024-01-31,,https://img.a.transfermarkt.technology/portrait/medium/1000674-1750852935.jpg?lm=1
Gonçalo Moreira,Benfica,FW,19.0,1,0.0,0.0,0.0,0.0,,,,,,,,goncalo moreira,,,,,,
Henrique Araújo,Benfica,FW,23.0,23,0.0,0.0,7.83,3.91,0.0,0.0,0.0,3.333,3.333,0.0,,henrique araujo,2027-06-30,617267.0,2026-07-08T07:41:51,2022-07-01,,https://img.a.transfermarkt.technology/portrait/medium/617267-1749738879.jpg?lm=1
Heorhiy Sudakov,Benfica,MF,22.0,1411,0.26,0.06,2.23,0.77,7.006,0.382,0.382,0.892,2.166,0.064,,heorhiy sudakov,,,,,,
