norm_key,name,team,n_points,gw,gh,grid
matheus cunha,Matheus Cunha,Manchester United,1535,12,8,0 0 2 18 5 11 7 5 25 9 9 5 0 2 7 25 30 20 20 25 20 14 18 14 5 9 11 18 34 18 27 32 70 61 48 14 2 7 9 27 30 41 41 48 68 55 32 23 18 16 11 43 43 59 52 52 66 48 41 23 7 20 25 64 59 57 64 91 93 86 80 27 20 32 18 82 89 61 95 100 86 75 66 27 16 30 11 70 73 52 70 80 77 36 36 18
mason mount,Mason Mount,Manchester United,666,12,8,9 9 0 32 41 32 32 23 23 9 14 0 0 5 14 14 27 27 32 32 59 18 18 0 5 9 14 55 50 36 82 77 45 14 14 9 9 18 18 23 27 45 9 41 59 23 14 23 9 9 18 36 50 32 45 36 50 41 36 5 5 0 9 41 45 73 59 50 82 45 36 18 9 5 23 41 77 36 41 100 95 55 45 14 0 23 0 32 55 59 86 73 68 32 23 18
joshua zirkzee,Joshua Zirkzee,Manchester United,451,12,8,0 20 7 7 27 20 13 20 7 7 0 0 0 7 7 13 40 60 20 53 33 0 20 20 0 20 20 20 33 60 53 73 80 33 13 13 40 13 7 13 20 27 93 33 27 47 67 40 20 13 27 40 47 20 33 20 73 60 73 60 7 7 20 33 80 100 60 73 93 67 33 20 0 13 0 7 67 60 27 87 100 47 0 7 0 7 13 20 0 27 47 87 13 20 20 13
bruno fernandes,Bruno Fernandes,Manchester United,2280,12,8,4 12 16 32 36 27 32 66 46 45 30 5 11 11 14 62 59 46 46 79 96 38 25 12 23 18 29 55 68 62 64 89 100 62 41 20 7 12 4 38 70 55 50 50 71 50 29 11 12 18 21 36 66 62 64 68 62 52 29 9 14 7 25 68 95 57 93 98 91 70 16 7 11 20 43 52 64 55 73 93 86 66 23 4 4 14 18 39 46 48 46 64 54 30 38 9
amad diallo,Amad Diallo,Manchester United,1295,12,8,7 14 31 51 77 56 60 94 100 74 39 7 14 16 29 36 47 37 41 41 53 49 61 21 20 13 17 27 21 13 20 27 41 47 66 30 11 16 7 10 7 11 6 3 10 17 20 17 1 7 4 3 3 10 3 3 10 3 13 3 0 0 4 6 4 13 10 10 11 11 6 1 0 1 3 11 3 7 7 11 33 4 11 7 0 7 6 9 9 7 1 10 9 14 3 0
kobbie mainoo,Kobbie Mainoo,Manchester United,1318,12,8,7 11 7 23 36 9 27 18 5 7 7 2 2 0 9 27 41 23 39 50 50 23 5 5 7 20 25 43 73 55 91 66 61 18 9 2 11 16 20 45 36 45 64 77 50 11 16 5 11 27 34 45 41 45 52 52 52 23 9 9 18 18 34 48 70 66 100 100 70 20 14 2 16 16 34 55 86 48 66 70 64 9 18 7 5 27 16 34 20 18 27 36 20 9 20 9
patrick dorgu,Patrick Dorgu,Manchester United,997,12,8,6 11 4 9 17 9 9 9 2 4 9 2 0 4 4 6 9 4 6 19 13 11 6 0 2 4 0 13 2 0 6 11 11 2 6 2 15 0 2 2 9 6 4 6 9 9 4 6 30 11 4 9 6 6 6 4 9 17 19 21 17 23 34 9 19 11 9 13 26 26 43 32 19 32 43 70 38 32 45 66 60 72 87 34 17 38 66 98 87 53 87 100 96 98 62 15
manuel ugarte,Manuel Ugarte,Manchester United,769,12,8,18 9 5 27 23 32 36 36 32 5 5 5 9 14 9 55 45 36 55 68 32 5 0 0 14 50 27 68 95 77 95 95 41 5 14 0 27 68 41 59 32 68 55 45 41 18 5 0 23 23 23 86 73 91 86 50 91 23 14 5 14 18 50 77 68 73 91 86 64 5 0 0 0 27 32 59 64 64 73 77 100 9 0 5 0 14 14 36 32 41 23 50 23 18 5 0
jack fletcher,Jack Fletcher,Manchester United,71,12,8,0 0 0 0 0 0 0 12 0 0 0 0 0 12 0 0 12 0 38 100 38 12 0 0 0 0 0 0 38 12 0 38 0 0 0 0 0 25 12 12 25 25 0 12 0 0 12 0 0 0 12 12 38 50 38 0 0 12 0 0 0 0 25 0 12 25 12 0 12 0 12 0 0 12 0 0 0 12 0 38 0 12 12 0 0 25 12 25 25 0 0 0 0 0 12 0
tyler fletcher,Tyler Fletcher,Manchester United,23,12,8,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 67 0 0 33 67 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 33 0 0 0 67 0 0 0 0 0 0 0 0 0 33 33 0 0 100 0 0 0 0 0 33 0 0 0 0 33 33 0 0 0 0 0 0 33 0 0 33 67 0 0 0 0 0 0 0 0 0 0 33 33 0 0 0 0
