target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Milan,Lisandro Martínez,Centre-Back,28,Manchester United,40000000.0,,30/06/2026
Milan,Gonçalo Inácio,Centre-Back,24,Sporting CP,40000000.0,,30/06/2026
Milan,António Silva,Centre-Back,22,SL Benfica,25000000.0,29,30/06/2026
Milan,Mason Mount,Attacking Midfield,27,Manchester United,25000000.0,,29/06/2026
Milan,Tiago Gabriel,Centre-Back,21,US Lecce,15000000.0,,29/06/2026
Milan,Marc Casadó,Defensive Midfield,22,FC Barcelona,18000000.0,,29/06/2026
Milan,Matviy Ponomarenko,Centre-Forward,20,Dynamo Kyiv,12000000.0,13,26/06/2026
Milan,Lucas Herrington,Centre-Back,18,Colorado Rapids,4500000.0,,26/06/2026
Milan,Richard Ríos,Defensive Midfield,26,SL Benfica,25000000.0,29,25/06/2026
Milan,Malo Gusto,Right-Back,23,Chelsea FC,35000000.0,23,24/06/2026
Milan,Francisco Trincão,Attacking Midfield,26,Sporting CP,40000000.0,,23/06/2026
Milan,Pedro Gonçalves,Left Winger,28,Sporting CP,25000000.0,13,23/06/2026
Milan,Cody Gakpo,Left Winger,27,Liverpool FC,60000000.0,,15/06/2026
Milan,Arne Engels,Central Midfield,22,Celtic FC,20000000.0,,14/06/2026
Parma,Gabriel Slonina,Goalkeeper,22,Chelsea FC,3000000.0,,04/07/2026
Parma,Almugera Kabar,Left-Back,20,Borussia Dortmund,3000000.0,,26/06/2026
Parma,Gabriel Strefezza,Right Winger,29,Olympiacos Piraeus,6500000.0,,25/06/2026
Parma,Mario Stroeykens,Attacking Midfield,21,RSC Anderlecht,4500000.0,,24/06/2026
Parma,Moritz Jenz,Centre-Back,27,VfL Wolfsburg,5000000.0,,24/06/2026
Parma,Matteo Cancellieri,Right Winger,24,SS Lazio,7000000.0,,23/06/2026
Parma,Adrián Liso,Left Winger,21,Real Zaragoza,3000000.0,,15/06/2026
Parma,Isak Bjerkebo,Left Winger,23,IK Sirius,3500000.0,,08/06/2026
Parma,Idrissa Touré,Right Midfield,28,Pisa Sporting Club,5000000.0,,07/06/2026
Parma,Henrik Meister,Centre-Forward,22,Pisa Sporting Club,3800000.0,,29/05/2026
Parma,Barney Stewart,Centre-Forward,22,West Bromwich Albion,1000000.0,,28/05/2026
Parma,Francesco Camarda,Centre-Forward,18,AC Milan,15000000.0,,28/05/2026
Parma,Gustavo Varela,Centre-Forward,21,SL Benfica B,3000000.0,,16/05/2026
Parma,István Átrok,Left Winger,20,MTK Budapest,500000.0,,14/05/2026
Parma,William Mikelbrencis,Right-Back,22,Without ClubWithout Club,3000000.0,,10/05/2026
