player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Hong Hyunseok,Nantes,MF,26,284,0.0,0.0,1.27,0.63,4.375,0.625,2.188,0.0,0.312,0.312,,hong hyunseok,,,,,,
Ibrahima Sissoko,Nantes,"MF,DF",27,803,0.0,0.0,0.67,0.0,0.674,1.798,0.787,2.809,0.899,0.225,,ibrahima sissoko,2028-06-30,372712.0,2026-07-09T08:47:15,2026-01-12,,https://img.a.transfermarkt.technology/portrait/medium/372712-1721851302.jpg?lm=1
Ignatius Ganago,Nantes,FW,26,839,0.21,0.11,2.47,0.75,0.968,0.215,0.323,1.183,1.398,0.323,,ignatius ganago,2027-06-30,531949.0,2026-07-09T08:47:15,2022-09-01,,https://img.a.transfermarkt.technology/portrait/medium/531949-1740678544.jpg?lm=1
Johann Lepenant,Nantes,MF,22,2173,0.0,0.04,0.91,0.29,3.029,1.079,1.95,1.203,1.992,0.0,,johann lepenant,2029-06-30,585973.0,2026-07-09T08:47:15,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/585973-1672830993.jpg?lm=1
Junior Mwanga,Nantes,MF,22,1260,0.07,0.07,0.64,0.21,0.357,0.571,1.0,1.071,1.0,0.0,,junior mwanga,,,,,,
Kelvin Amian,Nantes,DF,27,1961,0.0,0.05,0.46,0.09,1.33,0.367,0.826,1.055,0.826,0.092,,kelvin amian,2028-06-30,344072.0,2026-07-09T08:47:15,2024-01-25,,https://img.a.transfermarkt.technology/portrait/medium/344072-1638174640.jpg?lm=1
Kwon Hyeokkyu,Nantes,MF,24,753,0.0,0.0,0.36,0.0,0.119,0.714,0.714,1.31,1.19,0.0,,kwon hyeokkyu,,,,,,
Louis Leroux,Nantes,"MF,DF",19,1441,0.06,0.06,0.94,0.19,1.875,0.312,1.438,0.75,0.875,0.062,,louis leroux,2030-06-30,1119456.0,2026-07-09T08:47:15,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1119456-1740392399.jpg?lm=1
Mathieu Acapandié,Nantes,"DF,MF",20,261,0.0,0.0,0.0,0.0,3.793,1.034,0.345,1.034,0.0,0.0,,mathieu acapandie,,,,,,
Matthis Abline,Nantes,"FW,MF",22,2494,0.22,0.14,3.03,0.79,2.238,0.325,0.469,1.155,1.516,0.181,,matthis abline,2028-06-30,659543.0,2026-07-09T08:47:15,2024-07-03,,https://img.a.transfermarkt.technology/portrait/medium/659543-1704213657.jpg?lm=1
