squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,facup_starts,facup_apps,lcup_starts,lcup_apps,euro_starts,euro_apps,cup_starts,cup_apps
Chelsea,Andrey Santos,andrey santos,3,6,0,0,0,0,4,5,5,5,3,6,9,10
Chelsea,Tosin Adarabioyo,tosin adarabioyo,3,5,0,0,0,0,4,5,2,3,3,5,6,8
Chelsea,Alejandro Garnacho,alejandro garnacho,3,9,0,0,0,0,4,6,1,4,3,9,5,10
Chelsea,Jamie Gittens,jamie gittens,3,7,0,0,0,0,1,1,3,3,3,7,4,4
Chelsea,Filip Jørgensen,filip jorgensen,3,3,0,0,0,0,1,1,3,3,3,3,4,4
Chelsea,Benoît Badiashile,benoit badiashile,3,4,0,0,0,0,2,2,1,2,3,4,3,4
Chelsea,Cole Palmer,cole palmer,3,4,0,0,0,0,2,3,0,1,3,4,2,4
Chelsea,Facundo Buonanotte,facundo buonanotte,2,3,0,0,0,0,1,1,3,3,2,3,4,4
Chelsea,Romeo Lavia,romeo lavia,2,4,0,0,0,0,3,3,1,1,2,4,4,4
Chelsea,Tyrique George,tyrique george,2,4,0,0,0,0,0,0,3,3,2,4,3,3
Chelsea,Josh Acheampong,josh acheampong,1,5,0,0,0,0,2,4,3,4,1,5,5,8
Chelsea,Marc Guiu,marc guiu,1,1,0,0,0,0,1,2,2,2,1,1,3,4
Chelsea,Liam Delap,liam delap,1,5,0,0,0,0,2,6,1,2,1,5,3,8
Chelsea,Mamadou Sarr,mamadou sarr,1,1,0,0,0,0,2,2,0,0,1,1,2,2
Chelsea,Levi Colwill,levi colwill,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Chelsea,Reggie Walsh,reggie walsh,0,1,0,0,0,0,0,0,0,1,0,1,0,1
Chelsea,Shim Mheuka,shim mheuka,0,0,0,0,0,0,0,1,0,2,0,0,0,3
Chelsea,Jesse Derry,jesse derry,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Chelsea,Dário Essugo,dario essugo,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Chelsea,Ryan Kavuma-Mcqueen,ryan kavuma-mcqueen,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Crystal Palace,Maxence Lacroix,maxence lacroix,0,0,0,0,14,14,0,0,3,3,14,14,3,3
Crystal Palace,Ismaïla Sarr,ismaila sarr,0,0,0,0,12,13,0,0,1,1,12,13,1,1
Crystal Palace,Dean Henderson,dean henderson,0,0,0,0,12,12,0,0,0,0,12,12,0,0
Crystal Palace,Jaydee Canvot,jaydee canvot,0,0,0,0,11,12,1,1,3,3,11,12,4,4
Crystal Palace,Chris Richards,chris richards,0,0,0,0,11,12,1,1,1,2,11,12,2,3
Crystal Palace,Adam Wharton,adam wharton,0,0,0,0,11,14,1,1,1,1,11,14,2,2
Crystal Palace,Daniel Muñoz,daniel munoz,0,0,0,0,11,12,0,0,2,2,11,12,2,2
Crystal Palace,Daichi Kamada,daichi kamada,0,0,0,0,11,14,0,0,2,2,11,14,2,2
Crystal Palace,Tyrick Mitchell,tyrick mitchell,0,0,0,0,11,13,0,1,1,1,11,13,1,2
Crystal Palace,Yéremy Pino,yeremy pino,0,0,0,0,9,13,1,1,3,3,9,13,4,4
Crystal Palace,Jean-Philippe Mateta,jean-philippe mateta,0,0,0,0,9,12,0,0,2,3,9,12,2,3
Crystal Palace,Marc Guéhi,marc guehi,0,0,0,0,5,6,1,1,3,3,5,6,4,4
Crystal Palace,Borna Sosa,borna sosa,0,0,0,0,4,4,1,1,2,3,4,4,3,4
Crystal Palace,Will Hughes,will hughes,0,0,0,0,4,11,0,1,2,3,4,11,2,4
Crystal Palace,Jefferson Lerma,jefferson lerma,0,0,0,0,4,11,0,0,1,3,4,11,1,3
Crystal Palace,Jørgen Strand Larsen,jorgen strand larsen,0,0,0,0,4,8,0,0,0,0,4,8,0,0
Crystal Palace,Evann Guessand,evann guessand,0,0,0,0,4,6,0,0,0,0,4,6,0,0
Crystal Palace,Walter Benítez,walter benitez,0,0,0,0,3,3,1,1,3,3,3,3,4,4
Crystal Palace,Brennan Johnson,brennan johnson,0,0,0,0,3,7,0,1,0,0,3,7,0,1
Crystal Palace,Justin Devenny,justin devenny,0,0,0,0,2,4,1,1,0,3,2,4,1,4
Crystal Palace,Christantus Uche,christantus uche,0,0,0,0,2,4,1,1,0,3,2,4,1,4
Crystal Palace,Chadi Riad,chadi riad,0,0,0,0,2,3,0,0,0,0,2,3,0,0
Crystal Palace,Eddie Nketiah,eddie nketiah,0,0,0,0,1,5,0,0,2,2,1,5,2,2
Crystal Palace,Romain Esse,romain esse,0,0,0,0,1,3,0,0,1,1,1,3,1,1
Crystal Palace,Kaden Rodney,kaden rodney,0,0,0,0,1,1,1,1,0,0,1,1,1,1
Crystal Palace,Joél Drakes-Thomas,joel drakes-thomas,0,0,0,0,1,1,1,1,0,0,1,1,1,1
Crystal Palace,George King,george king,0,0,0,0,1,1,0,0,0,0,1,1,0,0
Crystal Palace,Dean Benamar,dean benamar,0,0,0,0,1,1,0,0,0,0,1,1,0,0
Crystal Palace,Rio Cardines,rio cardines,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Crystal Palace,Nathaniel Clyne,nathaniel clyne,0,0,0,0,0,3,0,0,0,1,0,3,0,1
Crystal Palace,Ben Casey,ben casey,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Everton,James Tarkowski,james tarkowski,0,0,0,0,0,0,1,1,2,2,0,0,3,3
Everton,James Garner,james garner,0,0,0,0,0,0,1,1,2,2,0,0,3,3
Everton,Dwight McNeil,dwight mcneil,0,0,0,0,0,0,1,1,2,2,0,0,3,3
Everton,Jake O'Brien,jake o'brien,0,0,0,0,0,0,1,1,1,2,0,0,2,3
Everton,Vitaliy Mykolenko,vitaliy mykolenko,0,0,0,0,0,0,1,1,1,2,0,0,2,3
Everton,Harrison Armstrong,harrison armstrong,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Everton,Tyler Dibling,tyler dibling,0,0,0,0,0,0,1,1,1,2,0,0,2,3
Everton,Thierno Barry,thierno barry,0,0,0,0,0,0,0,1,2,2,0,0,2,3
Everton,Mark Travers,mark travers,0,0,0,0,0,0,0,0,2,2,0,0,2,2
Everton,Michael Keane,michael keane,0,0,0,0,0,0,0,0,2,2,0,0,2,2
