player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Kareem Tunde,Levante,MF,19.0,1133,0.0,0.08,1.67,0.24,0.873,1.111,0.873,1.27,1.905,0.079,,kareem tunde,2026-01-01,1063340,2026-07-03T08:31:54,2026-01-01,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Karl Etta Eyong,Levante,FW,21.0,1416,0.38,0.13,2.73,1.33,0.828,0.382,0.701,1.847,1.911,0.382,,karl etta eyong,2025-09-01,1038950,2026-07-03T08:31:54,2025-09-01,,https://img.a.transfermarkt.technology/portrait/medium/1038950-1759409401.jpg?lm=1
Kervin Arriaga,Levante,MF,27.0,1532,0.18,0.18,0.94,0.35,0.294,0.824,1.529,1.294,1.294,0.059,,kervin arriaga,2025-07-02,526050,2026-07-03T08:31:54,2025-07-02,,https://img.a.transfermarkt.technology/portrait/medium/526050-1710094372.jpg?lm=1
Manu Sánchez,Levante,DF,24.0,2814,0.03,0.06,0.42,0.13,2.396,1.118,1.725,1.118,0.639,0.064,,manu sanchez,2025-07-25,618809,2026-07-03T08:31:54,2025-07-25,,https://img.a.transfermarkt.technology/portrait/medium/618809-1673281847.jpg?lm=1
Mathew Ryan,Levante,GK,33.0,3240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,mathew ryan,2025-08-26,128969,2026-07-03T08:31:54,2025-08-26,,https://img.a.transfermarkt.technology/portrait/medium/128969-1668505563.jpg?lm=1
Matias Moreno,Levante,DF,21.0,2252,0.0,0.0,0.4,0.0,0.12,1.52,1.0,0.92,0.92,0.08,,matias moreno,2025-07-11,1144700,2026-07-03T08:31:54,2025-07-11,,https://img.a.transfermarkt.technology/portrait/medium/1144700-1730183072.jpg?lm=1
Nacho Pérez,Levante,DF,16.0,148,0.0,0.0,0.0,0.0,0.0,1.25,0.625,0.625,0.625,0.0,,nacho perez,2026-07-01,1371830,2026-07-03T08:31:54,2026-07-01,NEW,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Olasagasti,Levante,MF,24.0,1734,0.05,0.26,1.45,0.47,5.492,0.725,0.777,1.036,1.71,0.0,,olasagasti,,,,,,
Oriol Rey,Levante,MF,27.0,1319,0.0,0.07,0.55,0.07,0.544,0.816,0.816,1.565,0.952,0.0,,oriol rey,2023-07-01,293388,2026-07-03T08:31:54,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/293388-1726053851.jpg?lm=1
Pablo Cuñat,Levante,GK,23.0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,pablo cunat,,,,,,
Pablo Martínez,Levante,MF,27.0,1857,0.05,0.24,1.36,0.19,4.223,0.922,0.485,1.456,0.583,0.146,,pablo martinez,2020-07-17,568835,2026-07-03T08:31:54,2020-07-17,,https://img.a.transfermarkt.technology/portrait/medium/568835-1632129599.jpg?lm=1
Paco Cortés,Levante,"MF,FW",17.0,472,0.0,0.0,2.29,0.76,3.846,0.385,0.192,1.154,1.154,0.192,,paco cortes,2025-07-01,1232057,2026-07-03T08:31:54,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1232057-1761232668.jpg?lm=1
Sergio Lozano,Levante,MF,26.0,12,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,sergio lozano,2023-07-06,341277,2026-07-03T08:31:54,2023-07-06,,https://img.a.transfermarkt.technology/portrait/medium/341277-1760514977.JPG?lm=1
Tay Abed,Levante,MF,21.0,93,0.0,0.0,1.94,0.97,5.0,2.0,1.0,2.0,2.0,0.0,,tay abed,2026-01-21,921345,2026-07-03T08:31:54,2026-01-21,,https://img.a.transfermarkt.technology/portrait/medium/921345-1752587415.jpg?lm=1
Ugo Raghouber,Levante,MF,22.0,706,0.0,0.0,0.38,0.0,0.256,1.923,1.282,1.282,1.795,0.128,,ugo raghouber,2026-01-14,707230,2026-07-03T08:31:54,2026-01-14,,https://img.a.transfermarkt.technology/portrait/medium/707230-1678906674.jpg?lm=1
Unai Elgezabal,Levante,"DF,MF",32.0,958,0.09,0.0,0.28,0.09,0.0,0.377,0.377,1.038,0.566,0.0,,unai elgezabal,2024-07-01,255495,2026-07-03T08:31:54,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/255495-1675799445.jpg?lm=1
Unai Vencedor Paris,Levante,MF,24.0,812,0.0,0.0,0.0,0.0,2.556,0.444,1.444,2.778,0.889,0.0,,unai vencedor paris,,,,,,
Víctor García,Levante,"MF,FW",27.0,1040,0.17,0.09,1.64,0.69,5.603,0.603,1.293,1.121,0.948,0.259,,victor garcia,2025-07-03,590690,2026-07-03T08:31:54,2025-07-03,,https://img.a.transfermarkt.technology/portrait/medium/590690-1702510605.png?lm=1
Abdón Prats,Mallorca,FW,32.0,143,0.0,0.0,3.15,1.26,0.625,0.0,0.0,1.25,1.875,0.0,,abdon prats,2017-07-04,177452,2026-07-03T08:31:59,2017-07-04,,https://img.a.transfermarkt.technology/portrait/medium/177452-1696950061.jpg?lm=1
Antonio Raillo,Mallorca,DF,33.0,2070,0.0,0.04,0.52,0.04,0.174,0.522,0.565,1.0,0.652,0.043,,antonio raillo,2016-07-01,278296,2026-07-03T08:31:59,2016-07-01,,https://img.a.transfermarkt.technology/portrait/medium/278296-1447228780.jpg?lm=1
