player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,nationality,tm_position,tm_photo,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Jahyann Pandore,Metz,MF,17,88,1.02,0.0,2.05,1.02,3.0,0.0,4.0,2.0,1.0,0.0,200000.0,0.933,0.933,0.038,1.268,2.535,1.409,1,0,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,France,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,6.68,71.79,33.33,0.0,0.0,100.0,0.0,35.71,31.25,1.059,0.0,1.059,1.059,0.0,0.0,5.294,0.0,4.235,5.294,0.0,0.0,0.0,10.588,0.0,0.0,0.0,0.0,0.0,0.0,4.0,85.0,jahyann pandore,,,,,
Jean-Philippe Gbamin,Metz,"DF,MF",29,2485,0.04,0.04,0.51,0.25,0.181,0.978,0.978,0.906,0.29,0.0,2000000.0,0.071,0.071,0.052,0.543,0.507,0.223,1,1,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,Cote d'Ivoire,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/182894-1705317996.png?lm=1,6.59,88.13,47.93,60.0,78.79,49.02,48.21,53.13,51.85,0.543,0.109,2.966,0.145,0.47,0.977,5.969,0.977,0.904,3.075,0.109,0.072,0.941,6.186,0.0,5.0,0.0,0.0,0.0,0.0,31.0,2488.0,jean-philippe gbamin,,,,,
Jessy Deminguet,Metz,MF,27,1995,0.09,0.0,0.77,0.32,0.856,0.991,0.946,1.261,1.441,0.0,2000000.0,0.049,0.049,0.026,0.175,0.743,0.244,2,0,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,France,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/539232-1540373365.jpg?lm=1,6.7,89.12,66.27,10.53,47.62,52.27,41.38,49.71,48.5,0.178,0.045,0.757,0.178,0.089,0.98,3.206,0.534,1.024,3.785,0.045,0.223,0.445,6.813,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2021.0,jessy deminguet,2028-06-30,539232.0,2026-07-09T08:47:06,2025-07-01,
Joel Asoro,Metz,FW,26,227,0.0,0.0,1.59,0.4,0.4,0.0,0.0,0.8,0.4,0.8,800000.0,0.321,0.321,0.039,0.409,1.636,0.364,0,0,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,Sweden,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/375391-1697465755.png?lm=1,6.34,56.76,20.0,100.0,25.0,0.0,20.0,22.22,20.83,0.386,0.0,0.386,0.386,0.0,0.0,1.159,1.159,0.0,0.773,0.0,0.386,0.386,2.704,0.0,0.0,0.0,0.0,0.0,0.0,8.0,233.0,joel asoro,,,,,
Jonathan Fischer,Metz,GK,23,2354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.001,0.038,0.0,0.085,0,0,62.2,19.2,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,Denmark,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/542452-1711581097.jpg?lm=1,6.98,78.95,43.77,0.0,0.0,0.0,91.67,50.0,85.71,0.038,0.0,1.033,0.0,0.0,0.0,7.382,0.421,0.0,0.038,0.0,0.0,0.0,0.65,3.595,5.0,0.459,0.459,0.612,0.0,27.0,2353.0,jonathan fischer,2029-06-30,542452.0,2026-07-09T08:47:06,2025-07-29,
Joseph Nduquidi,Metz,MF,20,7,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,Angola,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/919620-1697462326.png?lm=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joseph nduquidi,2028-06-30,919620.0,2026-07-07T08:42:45,2023-08-31,
Koffi Kouao,Metz,"DF,MF",27,2265,0.08,0.04,0.91,0.4,2.341,1.111,1.825,1.27,1.31,0.119,2500000.0,0.065,0.065,0.049,0.431,0.902,0.229,2,1,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,Cote d'Ivoire,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/481513-1697464162.png?lm=1,6.86,86.44,50.86,13.56,71.43,59.72,39.13,58.26,56.52,0.436,0.079,2.732,0.158,0.515,1.148,5.108,0.356,1.703,5.306,0.04,0.277,1.188,8.473,0.0,6.0,0.0,0.0,0.0,0.0,27.0,2273.0,koffi kouao,,,,,
Lucas Michal,Metz,MF,20,212,0.0,0.0,2.97,0.85,0.417,0.0,0.0,1.25,0.833,0.417,3500000.0,0.316,0.316,0.036,0.735,2.939,0.352,0,0,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,France,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/810909-1693948175.png?lm=1,6.34,85.71,0.0,0.0,50.0,0.0,38.46,26.09,30.56,0.65,0.0,0.65,0.325,0.0,0.0,3.899,1.625,0.0,1.949,0.0,0.65,0.975,7.798,0.0,0.0,0.0,0.0,0.0,0.0,11.0,277.0,lucas michal,,,,,
Malick Mbaye,Metz,MF,21,300,0.0,0.0,0.6,0.3,2.424,0.909,2.424,0.606,0.909,0.0,400000.0,0.024,0.024,0.041,0.596,0.596,0.082,0,0,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,Senegal,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/707063-1697465878.png?lm=1,6.6,82.29,62.5,25.0,42.86,50.0,11.11,55.17,44.74,0.602,0.0,2.709,0.301,0.0,0.903,4.214,0.301,1.505,4.816,0.0,0.0,0.903,6.321,0.0,0.0,0.0,0.0,0.0,0.0,5.0,299.0,malick mbaye,,,,,
Maxime Colin,Metz,DF,33,1692,0.0,0.0,0.37,0.11,0.638,1.277,1.596,0.532,0.372,0.0,250000.0,0.012,0.012,0.011,0.318,0.371,0.148,0,0,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,France,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/156618-1697464153.png?lm=1,6.54,89.3,50.0,33.33,63.64,70.0,52.63,59.34,58.18,0.318,0.0,2.382,0.106,0.529,1.376,3.494,0.529,1.482,2.859,0.0,0.159,0.371,6.141,0.0,4.0,0.0,0.0,0.0,0.0,22.0,1700.0,maxime colin,2027-06-30,156618.0,2026-07-09T08:47:06,2023-07-27,
Michel Mboula,Metz,"DF,MF",22,746,0.0,0.0,0.24,0.12,0.964,1.807,1.205,1.084,1.325,0.0,900000.0,0.013,0.013,0.0,0.0,0.238,0.244,0,0,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,Gabon,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/1038308-1691065668.png?lm=1,6.76,91.49,62.71,37.5,58.33,81.82,50.0,63.04,61.54,0.0,0.0,3.236,0.0,0.719,1.678,4.554,0.36,1.079,3.475,0.12,0.36,0.839,6.232,0.0,1.0,0.0,0.0,0.0,0.0,14.0,751.0,michel mboula,2028-06-30,1038308.0,2026-07-09T08:47:06,2025-07-01,
Morgan Bokelé Mputu,Metz,MF,21,227,0.0,0.0,1.19,0.4,2.0,0.4,1.6,0.8,3.2,0.0,900000.0,0.0,0.0,0.0,0.0,1.19,0.0,0,0,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,Cameroon,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/838562-1741881165.jpg?lm=1,6.64,79.0,60.0,50.0,37.5,80.0,0.0,51.61,48.48,0.789,0.0,0.789,0.789,0.395,0.395,3.947,0.0,1.579,6.316,0.0,0.0,1.184,8.684,0.0,0.0,0.0,0.0,0.0,0.0,10.0,228.0,morgan bokele mputu,,,,,
Nathan Mbala,Metz,"MF,FW",17,441,0.41,0.41,3.06,0.82,7.347,0.204,1.224,0.612,1.224,0.0,4500000.0,0.148,0.148,0.227,2.746,3.169,0.403,2,2,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,DR Congo,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/1307004-1779443858.jpg?lm=1,6.78,73.81,42.86,29.73,37.5,66.67,36.36,51.22,48.08,2.612,0.402,0.603,0.603,0.0,0.201,1.808,0.804,1.205,4.219,0.0,0.201,1.205,5.223,0.0,0.0,0.0,0.0,0.0,0.0,13.0,448.0,nathan mbala,2029-06-30,1307004.0,2026-07-09T08:47:06,2026-02-01,
Pape Mamadou Sy,Metz,GK,28,706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,59.2,25.0,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,Senegal,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/568728-1676124787.jpg?lm=1,7.0,66.67,41.07,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,1.528,0.0,0.0,0.0,8.784,0.382,0.0,0.382,0.255,0.0,0.0,0.382,3.692,2.0,1.146,0.127,0.255,0.0,8.0,707.0,pape mamadou sy,,,,,
Sadibou Sané,Metz,DF,21,1940,0.09,0.05,0.28,0.09,0.185,1.806,1.574,1.019,0.694,0.0,7000000.0,0.014,0.014,0.013,0.139,0.278,0.196,2,1,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,Senegal,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/1111777-1697462116.png?lm=1,6.94,89.42,53.99,50.0,50.0,73.91,58.18,61.54,60.38,0.139,0.046,5.975,0.093,1.112,1.76,4.771,1.482,1.575,2.964,0.232,0.046,0.139,5.512,0.0,4.0,0.0,0.0,0.0,0.0,23.0,1943.0,sadibou sane,2027-06-30,1111777.0,2026-07-07T08:42:45,2023-07-22,
Terry Yegbe,Metz,DF,24,1963,0.0,0.05,0.28,0.09,0.229,1.009,0.321,0.872,0.367,0.0,3000000.0,0.058,0.058,0.02,0.228,0.273,0.127,0,1,,,76,2.235294117647059,0.0,32,0.9411764705882352,0.0666666666666667,Ghana,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/991054-1723719474.jpg?lm=1,6.45,88.12,42.86,20.0,66.67,60.0,54.29,47.17,50.0,0.229,0.046,5.768,0.0,0.87,1.053,2.701,0.87,0.412,1.144,0.183,0.046,0.092,2.564,0.0,5.0,0.0,0.0,0.0,0.0,24.0,1966.0,terry yegbe,,,,,
Aladji Bamba,Monaco,MF,19,816,0.0,0.22,0.22,0.11,0.44,0.879,2.198,2.527,1.978,0.0,18000000.0,0.012,0.012,0.187,1.41,0.217,0.388,0,2,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,France,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/975347-1764186059.jpg?lm=1,6.86,81.94,82.61,50.0,70.0,60.61,51.52,55.56,54.67,1.41,0.434,1.627,0.108,0.0,0.759,5.53,1.843,2.169,7.048,0.108,0.542,1.518,11.277,0.0,0.0,0.0,0.0,0.0,0.0,18.0,830.0,aladji bamba,2030-06-30,975347.0,2026-07-09T08:47:11,2025-07-01,
Aleksandr Golovin,Monaco,MF,29,1649,0.27,0.27,1.86,0.98,2.022,1.148,0.984,1.585,0.984,0.109,18000000.0,0.25,0.25,0.123,1.274,1.805,0.598,5,5,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Russia,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/263918-1614091807.jpg?lm=1,6.85,82.56,60.0,21.62,61.29,69.23,26.32,45.99,43.59,1.3,0.108,0.596,0.488,0.271,1.3,4.389,0.271,0.975,3.414,0.054,0.867,1.03,14.088,0.0,3.0,0.0,0.0,0.0,0.0,25.0,1661.0,aleksandr golovin,2029-06-30,263918.0,2026-07-09T08:47:11,2018-07-27,
Ansu Fati,Monaco,"MF,FW",22,1093,0.66,0.0,3.54,1.98,0.661,0.165,0.744,0.744,0.496,0.248,15000000.0,0.0,0.66,0.0,0.0,3.54,0.0,8,0,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Spain,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/466810-1721828228.jpg?lm=1,6.86,82.67,60.87,25.0,48.28,66.67,48.28,43.21,44.55,1.243,0.249,0.746,0.829,0.0,0.331,3.066,1.16,0.829,2.901,0.083,0.414,1.16,11.436,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1086.0,ansu fati,2030-06-30,466810.0,2026-07-09T08:47:11,2026-07-01,NEW
Caio Henrique Oliveira Silva,Monaco,"DF,MF",28,1536,0.0,0.12,0.12,0.0,5.263,0.702,0.643,0.76,0.994,0.058,12000000.0,0.0,0.0,0.12,0.36,0.12,0.0,0,2,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Brazil,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/420064-1614091193.jpg?lm=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caio henrique oliveira silva,,,,,
Christian Mawissa,Monaco,"DF,MF",20,1191,0.0,0.0,0.15,0.08,0.379,1.136,1.894,0.909,0.909,0.0,15000000.0,0.0,0.0,0.0,0.0,0.15,0.0,0,0,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,France,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/1005240-1708555606.jpg?lm=1,6.69,89.99,36.11,0.0,64.29,83.33,62.5,55.56,57.14,0.377,0.0,3.69,0.0,0.452,1.356,6.025,1.506,1.883,4.519,0.075,0.0,1.356,8.736,0.0,1.0,0.0,0.0,0.0,0.0,18.0,1195.0,christian mawissa,2029-06-30,1005240.0,2026-07-09T08:47:11,2024-08-11,
Denis Zakaria,Monaco,"DF,MF",28,2031,0.09,0.04,0.8,0.13,0.487,1.991,1.106,1.15,0.31,0.0,25000000.0,0.113,0.113,0.063,0.265,0.795,0.34,2,1,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Switzerland,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/334526-1780491997.jpg?lm=1,6.83,93.25,52.5,8.33,53.33,65.79,51.72,49.07,49.64,0.266,0.044,2.833,0.266,0.664,1.771,4.471,0.664,1.107,2.346,0.089,0.133,0.354,6.95,0.0,3.0,0.0,0.0,0.0,0.0,24.0,2033.0,denis zakaria,2028-06-30,334526.0,2026-07-09T08:47:11,2023-08-14,
Eliesse Ben Seghir,Monaco,MF,20,45,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,20000000.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Morocco,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/810895-1758703148.jpg?lm=1,6.4,76.0,33.33,0.0,100.0,0.0,0.0,57.14,57.14,0.0,0.0,0.0,0.0,0.0,0.0,4.186,0.0,0.0,8.372,2.093,0.0,2.093,4.186,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,eliesse ben seghir,,,,,
Eric Dier,Monaco,DF,31,688,0.13,0.0,0.39,0.26,0.263,1.316,0.263,1.184,0.526,0.0,4000000.0,0.07,0.07,0.004,0.13,0.39,0.375,1,0,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,England,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/175722-1665608595.jpg?lm=1,7.0,93.75,67.44,0.0,0.0,57.14,50.0,39.13,45.1,0.262,0.0,3.799,0.131,1.31,1.31,2.489,1.834,0.524,1.179,0.131,0.0,0.0,10.873,0.0,0.0,0.0,0.0,0.0,0.0,9.0,687.0,eric dier,2028-06-30,175722.0,2026-07-09T08:47:11,2025-07-01,
Folarin Balogun,Monaco,FW,24,2230,0.4,0.16,3.11,1.29,0.565,0.161,0.242,1.774,1.492,0.685,40000000.0,0.556,0.466,0.165,0.947,3.038,0.63,13,4,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,United States,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/503770-1672838317.jpg?lm=1,6.75,73.15,57.14,20.0,42.42,100.0,34.25,37.41,36.36,0.962,0.321,0.281,0.682,0.08,0.16,1.924,1.002,0.2,2.205,0.08,0.762,0.561,4.53,0.0,2.0,0.0,0.0,0.0,0.0,30.0,2245.0,folarin balogun,2028-06-30,503770.0,2026-07-09T08:47:11,2023-08-30,
George Ilenikhena,Monaco,FW,18,385,0.47,0.0,3.51,1.64,0.0,0.0,0.0,0.465,1.395,1.86,10000000.0,0.331,0.331,0.06,0.787,3.936,0.657,2,0,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Nigeria,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/1004834-1702545922.jpg?lm=1,6.54,73.58,66.67,0.0,9.09,0.0,42.11,27.59,33.33,0.699,0.0,0.466,0.466,0.233,0.0,0.933,1.865,0.0,1.865,0.0,0.699,0.233,5.596,0.0,0.0,0.0,0.0,0.0,0.0,15.0,386.0,george ilenikhena,,,,,
Ilane Touré,Monaco,MF,18,35,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.5,0.0,0.0,300000.0,0.0,0.0,0.206,4.286,0.0,0.399,0,0,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,France,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/975336-1693953433.png?lm=1,6.25,78.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.727,0.0,0.0,0.0,0.0,0.0,5.455,0.0,0.0,0.0,0.0,0.0,0.0,16.364,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,ilane toure,,,,,
Jordan Teze,Monaco,"MF,DF",25,2489,0.04,0.07,0.51,0.18,2.31,1.083,1.625,1.155,0.903,0.108,15000000.0,0.028,0.028,0.15,1.252,0.501,0.425,1,2,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Netherlands,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/364245-1707214531.jpg?lm=1,6.95,83.33,44.53,22.22,30.0,72.13,58.0,50.87,52.47,1.263,0.217,2.129,0.108,0.361,1.047,4.836,1.047,1.588,3.176,0.036,0.433,0.108,10.79,0.0,4.0,0.0,0.0,0.0,0.0,33.0,2494.0,jordan teze,2029-06-30,364245.0,2026-07-09T08:47:11,2024-08-20,
Kassoum Ouattara,Monaco,"MF,DF",20,967,0.0,0.28,1.12,0.0,4.673,1.776,1.776,2.056,0.935,0.093,12000000.0,0.108,0.108,0.245,1.542,1.089,0.654,0,3,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,France,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/947360-1726834011.jpg?lm=1,6.57,74.27,37.04,24.0,26.47,62.96,61.54,40.0,43.97,1.556,0.458,1.923,0.549,0.0,1.465,4.761,1.465,1.556,4.212,0.183,0.458,0.824,6.134,0.0,2.0,0.0,0.0,0.0,0.0,15.0,983.0,kassoum ouattara,,,,,
Krépin Diatta,Monaco,"MF,DF",26,1013,0.0,0.09,0.62,0.09,3.451,1.327,1.416,0.708,0.885,0.354,6000000.0,0.084,0.084,0.159,1.083,0.632,0.466,0,1,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Senegal,Right Midfield,https://img.a.transfermarkt.technology/portrait/medium/490426-1668163198.jpg?lm=1,6.9,78.38,43.24,24.32,66.67,58.06,71.05,66.67,68.22,1.14,0.351,2.632,0.175,0.263,1.404,5.0,2.368,1.579,4.035,0.0,0.263,0.526,9.912,0.0,1.0,0.0,0.0,0.0,0.0,18.0,1026.0,krepin diatta,,,,,
Lamine Camara,Monaco,MF,21,1847,0.15,0.19,1.22,0.19,4.927,1.854,1.61,1.366,2.341,0.0,40000000.0,0.065,0.065,0.245,1.684,1.203,0.536,3,4,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Senegal,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/918969-1726834088.jpg?lm=1,7.16,85.87,60.2,26.0,53.33,58.18,40.0,59.2,56.02,1.702,0.389,0.875,0.389,0.34,1.799,7.682,0.778,1.556,5.786,0.243,1.021,0.778,11.135,0.0,6.0,0.0,0.0,0.0,0.0,24.0,1851.0,lamine camara,2029-06-30,918969.0,2026-07-09T08:47:11,2024-07-30,
Lucas Michal,Monaco,FW,20,59,0.0,0.0,1.53,0.0,4.286,0.0,0.0,2.857,1.429,0.0,3500000.0,0.0,0.0,0.0,0.0,1.53,0.0,0,0,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,France,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/810909-1693948175.png?lm=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lucas michal,2029-06-30,810909.0,2026-07-09T08:47:11,2025-07-01,
Lukáš Hrádecký,Monaco,GK,35,1439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.178,0,0,62.5,11.8,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Finland,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/48015-1695367833.jpg?lm=1,6.79,66.89,32.09,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.999,0.0,0.0,0.0,7.058,0.375,0.062,0.125,0.062,0.0,0.0,0.562,2.811,2.0,0.5,0.625,0.312,0.0,17.0,1441.0,lukas hradecky,2027-06-30,48015.0,2026-07-09T08:47:11,2025-08-08,
Maghnes Akliouche,Monaco,"MF,FW",23,2400,0.23,0.23,1.8,0.71,1.985,0.674,0.974,1.086,1.348,0.337,50000000.0,0.245,0.245,0.198,1.63,1.778,0.702,6,6,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,France,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/745200-1717406573.jpg?lm=1,7.05,85.16,77.59,22.64,47.27,58.97,13.64,46.54,43.51,1.643,0.299,0.485,0.485,0.112,0.71,5.266,0.112,0.859,3.772,0.037,1.046,0.971,15.012,0.0,3.0,0.0,0.0,0.0,0.0,31.0,2410.0,maghnes akliouche,2028-06-30,745200.0,2026-07-09T08:47:11,2022-07-01,
Mamadou Coulibaly,Monaco,MF,21,1381,0.2,0.2,0.85,0.33,0.98,1.373,1.373,2.026,1.046,0.196,15000000.0,0.128,0.128,0.113,0.77,0.835,0.512,3,3,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,France,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/745173-1693947752.png?lm=1,6.76,85.07,66.0,21.43,42.86,54.05,38.24,45.33,44.02,0.781,0.195,1.237,0.26,0.13,1.237,5.861,0.847,1.302,4.428,0.0,0.456,0.977,9.117,0.0,1.0,0.0,0.0,0.0,0.0,25.0,1382.0,mamadou coulibaly,2028-06-30,745173.0,2026-07-09T08:47:11,2025-07-01,
Mika Biereth,Monaco,FW,22,1074,0.17,0.17,1.59,0.59,0.756,0.0,0.588,1.345,1.176,0.756,15000000.0,0.275,0.275,0.198,1.541,1.627,0.642,2,2,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Denmark,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/565821-1736777758.jpg?lm=1,6.51,61.17,50.0,28.57,30.77,63.64,24.19,36.25,30.99,1.706,0.325,0.406,0.569,0.162,0.0,2.599,1.218,0.569,2.356,0.0,0.975,0.325,4.711,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1108.0,mika biereth,2030-06-30,565821.0,2026-07-09T08:47:11,2025-01-11,
Mohammed Salisu,Monaco,DF,26,1080,0.08,0.0,0.67,0.17,0.0,1.583,0.917,1.417,0.25,0.333,10000000.0,0.073,0.073,0.013,0.167,0.667,0.288,1,0,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Ghana,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/563963-1668428508.jpg?lm=1,7.03,87.5,36.23,0.0,100.0,40.0,66.67,49.18,57.63,0.167,0.0,7.0,0.167,1.75,1.417,4.333,3.167,0.833,2.5,0.167,0.167,0.167,4.25,0.0,2.0,0.0,0.0,0.0,0.0,12.0,1080.0,mohammed salisu,2028-06-30,563963.0,2026-07-09T08:47:11,2023-08-01,
Pape Cabral,Monaco,MF,18,77,0.0,0.0,3.51,2.34,0.0,1.111,1.111,1.111,1.111,0.0,1200000.0,0.859,0.859,0.0,0.0,5.094,1.012,0,0,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,France,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/1075588-1693953767.png?lm=1,6.6,86.54,0.0,0.0,50.0,50.0,100.0,40.0,50.0,0.0,0.0,4.932,0.0,0.0,1.233,4.932,2.466,1.233,4.932,0.0,0.0,1.233,9.863,0.0,0.0,0.0,0.0,0.0,0.0,4.0,73.0,pape cabral,,,,,
Paris Brunner,Monaco,FW,19,132,0.0,0.0,2.73,0.68,0.667,0.667,1.333,5.333,0.667,0.667,1500000.0,0.407,0.407,0.0,0.0,3.186,0.407,0,0,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,Germany,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/918414-1759780037.jpg?lm=1,6.38,68.75,50.0,0.0,33.33,100.0,66.67,22.73,28.0,0.0,0.0,0.0,1.417,0.0,0.709,3.543,1.417,1.417,3.543,0.0,0.709,1.417,6.378,0.0,0.0,0.0,0.0,0.0,0.0,7.0,127.0,paris brunner,2028-06-30,918414.0,2026-07-09T08:47:11,2024-08-16,
Paul Pogba,Monaco,MF,32,119,0.0,0.0,1.51,0.0,0.769,0.769,2.308,1.538,0.769,0.0,2500000.0,0.084,0.084,0.0,0.0,1.765,0.062,0,0,,,54,1.588235294117647,0.4680851063829788,60,1.7647058823529411,0.688888888888889,France,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/122153-1764059298.jpg?lm=1,6.75,83.02,58.33,100.0,0.0,100.0,83.33,55.56,66.67,0.0,0.0,3.383,0.677,0.0,0.677,12.18,3.383,2.707,3.383,0.0,0.677,0.0,18.947,0.0,0.0,0.0,0.0,0.0,0.0,6.0,133.0,paul pogba,2027-06-30,122153.0,2026-07-09T08:47:11,2025-07-01,
