player,norm_key,squad,pos,90s,dead_ball_passes_per90,free_kick_passes_per90,throw_ins_per90,corner_kicks_per90,inswing_corners_per90,outswing_corners_per90,straight_corners_per90,sca_sca90,dead_ball_sca_per90,gca_gca90,dead_ball_gca_per90,fouls_per90_fbref,fouled_per90_fbref,pens_won_per90_fbref,pens_conceded_per90_fbref
Carlos Baleba,carlos baleba,Brighton,MF,18.4,,,,,,,,,,,,1.6847826086956523,1.3043478260869565,,
Casemiro,casemiro,Manchester Utd,MF,28.6,,,,,,,,,,,,1.6083916083916083,1.2587412587412588,,
Chadi Riad,chadi riad,Crystal Palace,DF,6.1,,,,,,,,,,,,0.819672131147541,0.49180327868852464,,
Charalampos Kostoulas,charalampos kostoulas,Brighton,FW,4.1,,,,,,,,,,,,1.707317073170732,1.707317073170732,,
Chemsdine Talbi,chemsdine talbi,Sunderland,"MF,FW",17.3,,,,,,,,,,,,0.2890173410404624,0.057803468208092484,,
Chris Richards,chris richards,Crystal Palace,DF,31.4,,,,,,,,,,,,0.5414012738853503,0.15923566878980894,,
Chris Rigg,chris rigg,Sunderland,MF,8.5,,,,,,,,,,,,0.9411764705882353,0.9411764705882353,,
Chris Wood,chris wood,Nottingham Forest,FW,10.0,,,,,,,,,,,,0.6,0.6,,
Christantus Uche,christantus uche,Crystal Palace,FW,1.9,,,,,,,,,,,,2.1052631578947367,3.68421052631579,,
Christian Nørgaard,christian norgaard,Arsenal,MF,1.2,,,,,,,,,,,,2.5,0.0,,
Cody Gakpo,cody gakpo,Liverpool,"MF,FW",30.4,,,,,,,,,,,,1.381578947368421,1.4473684210526316,,
Cole Palmer,cole palmer,Chelsea,MF,21.7,,,,,,,,,,,,0.599078341013825,1.7050691244239633,,
Conor Bradley,conor bradley,Liverpool,DF,10.3,,,,,,,,,,,,1.7475728155339805,1.9417475728155338,,
Conor Gallagher,conor gallagher,Tottenham Hotspur,MF,13.2,,,,,,,,,,,,1.893939393939394,1.7424242424242424,,
Cristhian Mosquera,cristhian mosquera,Arsenal,DF,11.0,,,,,,,,,,,,1.5454545454545454,0.6363636363636364,,
Cristian Romero,cristian romero,Tottenham Hotspur,DF,20.8,,,,,,,,,,,,1.5384615384615383,0.7692307692307692,,
Crysencio Summerville,crysencio summerville,West Ham United,"MF,FW",27.4,,,,,,,,,,,,1.7883211678832118,2.445255474452555,,
Curtis Jones,curtis jones,Liverpool,"MF,DF",21.5,,,,,,,,,,,,0.7906976744186046,1.3488372093023255,,
Daichi Kamada,daichi kamada,Crystal Palace,MF,21.1,,,,,,,,,,,,1.4218009478672984,1.3270142180094786,,
Dan Burn,dan burn,Newcastle United,DF,24.4,,,,,,,,,,,,1.4754098360655739,0.5327868852459017,,
Dan Ndoye,dan ndoye,Nottingham Forest,MF,13.0,,,,,,,,,,,,1.2307692307692308,1.6923076923076923,,
Dan Neil,dan neil,Sunderland,MF,0.2,,,,,,,,,,,,0.0,5.0,,
Dane Scarlett,dane scarlett,Tottenham Hotspur,FW,0.1,,,,,,,,,,,,10.0,0.0,,
Dango Ouattara,dango ouattara,Brentford,MF,25.3,,,,,,,,,,,,1.0671936758893281,1.541501976284585,,
Daniel Ballard,daniel ballard,Sunderland,DF,23.9,,,,,,,,,,,,1.2133891213389123,1.2133891213389123,,
Daniel Bentley,daniel bentley,Wolves,GK,3.0,,,,,,,,,,,,0.0,0.6666666666666666,,
Daniel James,daniel james,Leeds United,"FW,MF",6.2,,,,,,,,,,,,0.16129032258064516,1.2903225806451613,,
Daniel Muñoz,daniel munoz,Crystal Palace,MF,26.7,,,,,,,,,,,,1.2734082397003745,0.6741573033707865,,
Danny Welbeck,danny welbeck,Brighton,FW,25.1,,,,,,,,,,,,1.2350597609561753,0.398406374501992,,
Dario Essugo,dario essugo,Chelsea,MF,0.3,,,,,,,,,,,,10.0,3.3333333333333335,,
David Brooks,david brooks,Bournemouth,MF,13.4,,,,,,,,,,,,0.8208955223880596,0.9701492537313433,,
David Møller Wolfe,david moller wolfe,Wolves,"MF,DF",11.7,,,,,,,,,,,,0.8547008547008548,0.3418803418803419,,
David Raya,david raya,Arsenal,GK,37.0,,,,,,,,,,,,0.0,0.3783783783783784,,
Dean Henderson,dean henderson,Crystal Palace,GK,37.0,,,,,,,,,,,,0.05405405405405406,0.13513513513513514,,
Declan Rice,declan rice,Arsenal,MF,34.4,,,,,,,,,,,,0.7558139534883721,0.31976744186046513,,
Dennis Cirkin,dennis cirkin,Sunderland,DF,3.6,,,,,,,,,,,,1.1111111111111112,0.5555555555555556,,
Destiny Udogie,destiny udogie,Tottenham Hotspur,"DF,MF",14.9,,,,,,,,,,,,1.1409395973154361,1.4765100671140938,,
Diego Coppola,diego coppola,Brighton,DF,2.2,,,,,,,,,,,,1.8181818181818181,0.0,,
Diego Gómez,diego gomez,Brighton,"MF,FW",23.6,,,,,,,,,,,,2.0762711864406778,0.4661016949152542,,
Dilane Bakwa,dilane bakwa,Nottingham Forest,MF,6.1,,,,,,,,,,,,1.4754098360655739,2.295081967213115,,
Diogo Dalot,diogo dalot,Manchester Utd,"DF,MF",29.0,,,,,,,,,,,,0.8620689655172413,0.4827586206896552,,
Divine Mukasa,divine mukasa,Manchester City,MF,0.3,,,,,,,,,,,,3.3333333333333335,0.0,,
Djed Spence,djed spence,Tottenham Hotspur,"DF,MF",22.8,,,,,,,,,,,,1.2280701754385965,0.9210526315789473,,
Dominic Calvert-Lewin,dominic calvert-lewin,Leeds United,FW,30.2,,,,,,,,,,,,1.490066225165563,1.2251655629139073,,
Dominic Solanke,dominic solanke,Tottenham Hotspur,FW,11.1,,,,,,,,,,,,1.0810810810810811,0.8108108108108109,,
Dominik Szoboszlai,dominik szoboszlai,Liverpool,"MF,DF",35.9,,,,,,,,,,,,1.16991643454039,0.8356545961002786,,
Donyell Malen,donyell malen,Aston Villa,"FW,MF",7.3,,,,,,,,,,,,0.273972602739726,0.8219178082191781,,
Douglas Luiz,douglas luiz,Aston Villa,MF,6.7,,,,,,,,,,,,1.3432835820895521,1.4925373134328357,,
Douglas Luiz,douglas luiz,Nottingham Forest,MF,3.5,,,,,,,,,,,,1.1428571428571428,1.4285714285714286,,
Dwight McNeil,dwight mcneil,Everton,MF,13.0,,,,,,,,,,,,0.8461538461538461,0.5384615384615384,,
Eberechi Eze,eberechi eze,Arsenal,"MF,FW",20.1,,,,,,,,,,,,0.6965174129353233,1.8905472636815919,,
Eberechi Eze,eberechi eze,Crystal Palace,MF,0.9,,,,,,,,,,,,2.2222222222222223,1.1111111111111112,,
Eddie Nketiah,eddie nketiah,Crystal Palace,MF,4.7,,,,,,,,,,,,1.4893617021276595,1.4893617021276595,,
