squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Genoa,리그,ita.1,2027-01-03,A,Cagliari,0,0,0-0,,scheduled,401875057
Genoa,리그,ita.1,2027-01-06,H,Monza,0,0,0-0,,scheduled,401875126
Genoa,리그,ita.1,2027-01-10,A,Bologna,0,0,0-0,,scheduled,401874997
Genoa,리그,ita.1,2027-01-17,A,Juventus,0,0,0-0,,scheduled,401875059
Genoa,리그,ita.1,2027-01-24,H,Parma,0,0,0-0,,scheduled,401875135
Genoa,리그,ita.1,2027-01-31,H,Lecce,0,0,0-0,,scheduled,401875058
Genoa,리그,ita.1,2027-02-07,A,Venezia,0,0,0-0,,scheduled,401874876
Genoa,리그,ita.1,2027-02-14,H,Atalanta,0,0,0-0,,scheduled,401875125
Genoa,리그,ita.1,2027-02-21,A,Milan,0,0,0-0,,scheduled,401875066
Genoa,리그,ita.1,2027-02-28,H,Lazio,0,0,0-0,,scheduled,401874827
Genoa,리그,ita.1,2027-03-07,A,Monza,0,0,0-0,,scheduled,401875082
Genoa,리그,ita.1,2027-03-14,H,Roma,0,0,0-0,,scheduled,401874837
Genoa,리그,ita.1,2027-03-21,A,Fiorentina,0,0,0-0,,scheduled,401875147
Genoa,리그,ita.1,2027-04-04,H,Inter,0,0,0-0,,scheduled,401875150
Genoa,리그,ita.1,2027-04-11,A,Frosinone,0,0,0-0,,scheduled,401875149
Genoa,리그,ita.1,2027-04-18,A,Torino,0,0,0-0,,scheduled,401874884
Genoa,리그,ita.1,2027-04-25,H,Sassuolo,0,0,0-0,,scheduled,401875123
Genoa,리그,ita.1,2027-05-02,A,Udinese,0,0,0-0,,scheduled,401875120
Genoa,리그,ita.1,2027-05-09,H,Cagliari,0,0,0-0,,scheduled,401874838
Genoa,리그,ita.1,2027-05-16,A,Napoli,0,0,0-0,,scheduled,401875133
Genoa,리그,ita.1,2027-05-23,H,Bologna,0,0,0-0,,scheduled,401875122
Genoa,리그,ita.1,2027-05-30,A,Como,0,0,0-0,,scheduled,401875084
Hellas Verona,코파 이탈리아,ita.coppa_italia,2026-08-16,H,Virtus Entella,0,0,0-0,,scheduled,401881680
Inter,리그,ita.1,2026-08-22,H,Monza,0,0,0-0,,scheduled,401874931
Inter,리그,ita.1,2026-08-30,A,Cagliari,0,0,0-0,,scheduled,401874938
Inter,리그,ita.1,2026-09-05,H,Napoli,0,0,0-0,,scheduled,401874937
Inter,리그,ita.1,2026-09-14,H,Udinese,0,0,0-0,,scheduled,401874966
Inter,리그,ita.1,2026-09-19,A,Roma,0,0,0-0,,scheduled,401874753
Inter,리그,ita.1,2026-10-11,H,Parma,0,0,0-0,,scheduled,401875021
Inter,리그,ita.1,2026-10-17,A,Bologna,0,0,0-0,,scheduled,401874953
Inter,리그,ita.1,2026-10-25,H,Fiorentina,0,0,0-0,,scheduled,401875036
Inter,리그,ita.1,2026-10-28,A,Venezia,0,0,0-0,,scheduled,401874773
Inter,리그,ita.1,2026-11-01,A,Milan,0,0,0-0,,scheduled,401874795
Inter,리그,ita.1,2026-11-08,H,Como,0,0,0-0,,scheduled,401874808
Inter,리그,ita.1,2026-11-22,A,Atalanta,0,0,0-0,,scheduled,401875001
Inter,리그,ita.1,2026-11-29,H,Genoa,0,0,0-0,,scheduled,401874977
Inter,리그,ita.1,2026-12-06,A,Frosinone,0,0,0-0,,scheduled,401875023
Inter,리그,ita.1,2026-12-13,H,Torino,0,0,0-0,,scheduled,401874766
Inter,리그,ita.1,2026-12-20,A,Lecce,0,0,0-0,,scheduled,401874996
