target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Monaco,Marc Casadó,Defensive Midfield,22,FC Barcelona,18000000.0,,03/06/2026
Monaco,Emersonn,Centre-Forward,21,FC Toulouse,8000000.0,,23/05/2026
Monaco,Aymen Assab,Central Midfield,17,Without ClubWithout Club,,,19/05/2026
Monaco,Oussama Targhalline,Defensive Midfield,24,Feyenoord Rotterdam,16000000.0,,12/05/2026
Monaco,Tomas Bobcek,Centre-Forward,24,Lechia Gdansk,8000000.0,,11/05/2026
Monaco,Adem Arous,Centre-Back,21,Kasimpasa,4000000.0,,10/05/2026
Monaco,Barış Alper Yılmaz,Left Winger,26,Galatasaray,30000000.0,,29/04/2026
Nantes,Killian Corredor,Centre-Forward,25,SV Darmstadt 98,2800000.0,,04/07/2026
Nantes,Lucas Perrin,Centre-Back,27,Sporting Gijón,2000000.0,,03/07/2026
Nantes,Wilitty Younoussa,Central Midfield,24,FC Nantes,900000.0,,22/06/2026
Nantes,Maxime Dupé,Goalkeeper,33,FC Nantes,700000.0,,16/06/2026
Nantes,Alexis Trouillet,Central Midfield,25,Rodez AF,800000.0,,06/06/2026
Nice,Robbie Ure,Centre-Forward,22,IK Sirius,5000000.0,,06/07/2026
Nice,Benjamin Bouchouari,Central Midfield,24,Trabzonspor,4500000.0,,05/07/2026
Nice,Gauthier Hein,Right Winger,29,FC Metz,5000000.0,,27/06/2026
Nice,Tim Jabol-Folcarelli,Central Midfield,26,Trabzonspor,7000000.0,,26/06/2026
Nice,Youssef Belammari,Left-Back,27,Al Ahly FC,1200000.0,,19/06/2026
Nice,Mohamed Hany,Right-Back,30,Al Ahly FC,1500000.0,,19/06/2026
Nice,Cyriaque Irié,Right Winger,21,SC Freiburg,8000000.0,,18/06/2026
Nice,Darlin Yongwa,Left-Back,25,Without ClubWithout Club,5000000.0,,17/06/2026
Nice,Jacques Siwe,Centre-Forward,24,Rubin Kazan,2500000.0,,16/06/2026
Nice,Anthony Martial,Centre-Forward,30,CF Monterrey,3500000.0,,09/06/2026
Nice,Lenny Joseph,Centre-Forward,25,Ferencvárosi TC,2000000.0,,02/06/2026
